Time(s),CTSresistance,HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),SweatRate(kg/s),FatigueLevel,RespirationRate(1/min)
38.82,0,119.476575,36.983407,34.951085,0,0,23.622047
39.02,0,119.476575,36.983559,34.953124,0,0,23.622047
39.22,0,119.177107,36.983712,34.955160,0,0,23.622047
39.42,0,119.177107,36.983865,34.957192,0,0,23.622047
39.62,0,119.177107,36.984018,34.959221,0,0,23.622047
39.82,0,119.171531,36.984171,34.961248,0,0,23.622047
40.02,0,119.171531,36.984324,34.963273,0,0,23.622047
40.22,0,119.171531,36.984477,34.965295,0,0,23.622047
40.42,0,119.199260,36.984630,34.967317,0,0,23.622047
40.62,0,119.199260,36.984784,34.969336,0,0,23.622047
40.82,0,119.186856,36.984937,34.971354,0,0,23.622047
41.02,0,119.186856,36.985091,34.973371,0,0,23.622047
41.22,0,119.186856,36.985244,34.975386,0,0,23.622047
41.42,0,119.146432,36.985398,34.977400,0,0,23.622047
41.62,0,119.146432,36.985552,34.979413,0,0,23.622047
41.82,0,119.090305,36.985705,34.981424,0,0,23.622047
42.02,0,119.090305,36.985859,34.983435,0,0,23.622047
42.22,0,119.090305,36.986013,34.985443,0,0,23.622047
42.42,0,118.986150,36.986167,34.987450,0,0,23.622047
42.62,0,118.986150,36.986321,34.989457,0,0,23.622047
42.82,0,118.986150,36.986475,34.991462,0,0,23.622047
43.02,0,118.825710,36.986629,34.993465,0,0,23.622047
43.22,0,118.825710,36.986783,34.995468,0,0,23.622047
43.42,0,118.653975,36.986937,34.997468,0,0,23.437500
43.62,0,118.653975,36.987091,34.999468,0,0,23.437500
43.82,0,118.653975,36.987246,35.001466,0,0,23.437500
44.02,0,118.510307,36.987400,35.003463,0,0,23.437500
44.22,0,118.510307,36.987555,35.005458,0,0,23.437500
44.42,0,118.399939,36.987709,35.007451,0,0,23.437500
44.62,0,118.399939,36.987864,35.009444,0,0,23.437500
44.82,0,118.399939,36.988019,35.011434,0,0,23.437500
45.02,0,118.277210,36.988174,35.013423,0,0,23.437500
45.22,0,118.277210,36.988329,35.015411,0,0,23.437500
45.42,0,118.277210,36.988484,35.017397,0,0,23.437500
45.62,0,118.129741,36.988639,35.019381,0,0,23.437500
45.82,0,118.129741,36.988794,35.021364,0,0,23.437500
46.02,0,117.994066,36.988949,35.023345,0,0,23.437500
46.22,0,117.994066,36.989105,35.025326,0,0,23.437500
46.42,0,117.994066,36.989260,35.027304,0,0,23.437500
46.62,0,117.900542,36.989416,35.029281,0,0,23.437500
46.82,0,117.900542,36.989571,35.031257,0,0,23.437500
47.02,0,117.841977,36.989727,35.033230,0,0,23.437500
47.22,0,117.841977,36.989883,35.035203,0,0,23.437500
47.42,0,117.841977,36.990039,35.037173,0,0,23.437500
47.62,0,113.317788,36.990195,35.039139,0,0,23.437500
47.82,0,113.317788,36.990351,35.041092,0,0,23.437500
48.02,0,113.317788,36.990508,35.043043,0,0,23.437500
48.22,0,117.666206,36.990665,35.045001,0,0,23.437500
48.42,0,117.666206,36.990821,35.046963,0,0,23.437500
48.62,0,117.580188,36.990977,35.048923,0,0,23.437500
48.82,0,117.580188,36.991134,35.050881,0,0,23.437500
49.02,0,117.580188,36.991290,35.052838,0,0,23.437500
49.22,0,117.534802,36.991447,35.054792,0,0,23.437500
49.42,0,117.534802,36.991604,35.056745,0,0,23.437500
49.62,0,117.534802,36.991761,35.058696,0,0,23.437500
49.82,0,117.520168,36.991917,35.060645,0,0,23.437500
50.02,0,117.520168,36.992074,35.062592,0,0,23.437500
50.22,0,117.484864,36.992232,35.064537,0,0,23.437500
50.42,0,117.484864,36.992389,35.066480,0,0,23.437500
50.62,0,117.484864,36.992546,35.068421,0,0,23.437500
50.82,0,117.426564,36.992703,35.070360,0,0,23.437500
51.02,0,117.426564,36.992861,35.072297,0,0,23.437500
51.22,0,117.381271,36.993019,35.074232,0,0,23.437500
51.42,0,117.381271,36.993176,35.076165,0,0,23.437500
51.62,0,117.381271,36.993334,35.078097,0,0,23.437500
51.82,0,117.373763,36.993492,35.080026,0,0,23.437500
52.02,0,117.373763,36.993650,35.081953,0,0,23.437500
52.22,0,117.373763,36.993808,35.083878,0,0,23.437500
52.42,0,117.389284,36.993966,35.085801,0,0,23.437500
52.62,0,117.389284,36.994125,35.087721,0,0,23.437500
52.82,0,117.376324,36.994283,35.089640,0,0,23.437500
53.02,0,117.376324,36.994442,35.091557,0,0,23.437500
53.22,0,117.376324,36.994600,35.093472,0,0,23.437500
53.42,0,117.338426,36.994759,35.095384,0,0,23.437500
53.62,0,117.338426,36.994918,35.097295,0,0,23.255814
53.82,0,117.312003,36.995077,35.099204,0,0,23.255814
54.02,0,117.312003,36.995236,35.101111,0,0,23.255814
54.22,0,117.312003,36.995395,35.103016,0,0,23.255814
54.42,0,117.320646,36.995555,35.104918,0,0,23.255814
54.62,0,117.320646,36.995714,35.106819,0,0,23.255814
54.82,0,117.320646,36.995874,35.108717,0,0,23.255814
55.02,0,117.347240,36.996033,35.110614,0,0,23.255814
55.22,0,117.347240,36.996193,35.112508,0,0,23.255814
55.42,0,117.340771,36.996353,35.114401,0,0,23.255814
55.62,0,117.340771,36.996513,35.116291,0,0,23.255814
55.82,0,117.340771,36.996673,35.118180,0,0,23.255814
56.02,0,117.308580,36.996833,35.120067,0,0,23.255814
56.22,0,117.308580,36.996993,35.121951,0,0,23.255814
56.42,0,117.287188,36.997154,35.123834,0,0,23.255814
56.62,0,117.287188,36.997314,35.125715,0,0,23.255814
56.82,0,117.287188,36.997475,35.127594,0,0,23.255814
57.02,0,117.299328,36.997636,35.129470,0,0,23.255814
57.22,0,117.299328,36.997797,35.131345,0,0,23.255814
57.42,0,117.299328,36.997957,35.133218,0,0,23.255814
57.62,0,117.325981,36.998119,35.135089,0,0,23.255814
57.82,0,117.325981,36.998280,35.136958,0,0,23.255814
58.02,0,117.317093,36.998441,35.138825,0,0,23.255814
58.22,0,117.317093,36.998602,35.140690,0,0,23.255814
58.42,0,117.317093,36.998764,35.142553,0,0.015007,23.255814
58.62,0,117.283293,36.998925,35.144414,0,0.072151,23.255814
58.82,0,117.283293,36.999087,35.146274,0,0.075162,23.255814
59.02,0,117.261360,36.999248,35.148131,0,0.080656,23.255814
59.22,0,117.261360,36.999410,35.149987,0,0.081226,23.255814
59.42,0,117.261360,36.999572,35.151841,0,0.080698,23.255814
59.62,0,117.273286,36.999734,35.153693,0,0.081538,23.255814
59.82,0,117.273286,36.999896,35.155542,0,0.081094,23.255814
60.02,0,117.273286,37.000058,35.157390,0,0.080613,23.255814
60.22,0,117.298031,37.000221,35.159237,0,0.081536,23.255814
60.42,0,117.298031,37.000383,35.161081,0,0.080883,23.255814
60.62,0,117.286374,37.000546,35.162923,0,0.081338,23.255814
60.82,0,117.286374,37.000708,35.164764,0,0.081253,23.255814
61.02,0,117.286374,37.000871,35.166602,0,0.080783,23.255814
61.22,0,117.251890,37.001033,35.168439,0,0.081605,23.255814
61.42,0,117.251890,37.001196,35.170274,0,0.080986,23.255814
61.62,0,117.231266,37.001359,35.172107,0,0.080968,23.255814
61.82,0,117.231266,37.001522,35.173939,0,0.081411,23.255814
62.02,0,117.231266,37.001685,35.175768,0,0.080826,23.255814
62.22,0,117.245434,37.001849,35.177596,0,0.081556,23.255814
62.42,0,117.245434,37.002012,35.179421,0,0.081115,23.255814
62.62,0,117.245434,37.002175,35.181245,0,0.080625,23.255814
62.82,0,117.271078,37.002339,35.183067,0,0.081549,23.255814
63.02,0,117.271078,37.002502,35.184888,0,0.080900,23.255814
63.22,0,117.259814,37.002666,35.186706,0,0.081347,23.255814
63.42,0,117.259814,37.002830,35.188522,0,0.081267,23.255814
63.62,0,117.259814,37.002994,35.190337,0,0.080797,23.255814
63.82,0,117.227898,37.003158,35.192150,0,0.081614,23.255814
64.02,0,117.227898,37.003322,35.193961,0,0.081000,23.437500
64.22,0,117.211715,37.003486,35.195771,0,0.080975,23.437500
64.42,0,117.211715,37.003650,35.197579,0,0.081421,23.437500
64.62,0,117.211715,37.003814,35.199384,0,0.080838,23.437500
64.82,0,117.230640,37.003978,35.201188,0,0.081561,23.437500
65.02,0,117.230640,37.004143,35.202991,0,0.081126,23.437500
65.22,0,117.230640,37.004307,35.204791,0,0.080631,23.437500
65.42,0,117.257552,37.004472,35.206589,0,0.081556,23.437500
65.62,0,117.257552,37.004636,35.208386,0,0.080910,23.437500
65.82,0,117.246189,37.004801,35.210181,0,0.081350,23.437500
66.02,0,117.246189,37.004966,35.211974,0,0.081275,23.437500
66.22,0,117.246189,37.005131,35.213765,0,0.080806,23.437500
66.42,0,117.217208,37.005296,35.215555,0,0.081617,23.437500
66.62,0,117.217208,37.005461,35.217343,0,0.081008,23.437500
66.82,0,117.206682,37.005626,35.219129,0,0.080977,23.437500
67.02,0,117.206682,37.005791,35.220914,0,0.081427,23.437500
67.22,0,117.206682,37.005957,35.222696,0,0.080846,23.437500
67.42,0,117.231804,37.006122,35.224477,0,0.081562,23.437500
67.62,0,117.231804,37.006288,35.226256,0,0.081132,23.437500
67.82,0,117.231804,37.006453,35.228033,0,0.080633,23.437500
68.02,0,117.261254,37.006619,35.229809,0,0.081559,23.437500
68.22,0,117.261254,37.006785,35.231583,0,0.080916,23.437500
68.42,0,117.251821,37.006950,35.233355,0,0.081349,23.437500
68.62,0,117.251821,37.007116,35.235125,0,0.081279,23.437500
68.82,0,117.251821,37.007282,35.236893,0,0.080811,23.437500
69.02,0,117.228389,37.007448,35.238660,0,0.081617,23.437500
69.22,0,117.228389,37.007615,35.240425,0,0.081013,23.437500
69.42,0,117.226146,37.007781,35.242189,0,0.080975,23.437500
69.62,0,117.226146,37.007947,35.243951,0,0.081428,23.437500
69.82,0,117.226146,37.008114,35.245710,0,0.080850,23.437500
